codigo,nombre,url,imagen,hex,rgb,familia,ambiente
50YY 83/200,Acacia,https://www.alba.com.ar/es/paletas-de-colores/acacia-50yy-83-200-1672405,,#F6E4BD,"246,228,189",Amarillo,
37YY 39/443,Aceite de Mostaza,https://www.alba.com.ar/es/paletas-de-colores/aceite-de-mostaza-37yy-39-443-3137067,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234237.png,#C39E4B,"195,158,75",Amarillo,
53YY 26/275,Alga Verde,https://www.alba.com.ar/es/paletas-de-colores/alga-verde-53yy-26-275-1672428,,#968550,"150,133,80",Amarillo,
60YY 78/216,Almendra Blanca,https://www.alba.com.ar/es/paletas-de-colores/almendra-blanca-60yy-78-216-1672539,,#F0E2B7,"240,226,183",Amarillo,
50YY 80/455,Amarillo Arco Iris Claro,https://www.alba.com.ar/es/paletas-de-colores/amarillo-arco-iris-claro-50yy-80-455-1672398,,#FFE087,"255,224,135",Amarillo,
52YY 72/661,Amarillo Arco Iris Vivo,https://www.alba.com.ar/es/paletas-de-colores/amarillo-arco-iris-vivo-52yy-72-661-1672422,,#FDD84F,"253,216,79",Amarillo,
45YY 64/787,Amarillo Cítrico,https://www.alba.com.ar/es/paletas-de-colores/amarillo-citrico-45yy-64-787-1672090,,#FACA22,"250,202,34",Amarillo,
50YY 75/254,Amarillo de Mayo,https://www.alba.com.ar/es/paletas-de-colores/amarillo-de-mayo-50yy-75-254-1672393,,#F2DCAA,"242,220,170",Amarillo,
60YY 83/187,Amarillo Delicado,https://www.alba.com.ar/es/paletas-de-colores/amarillo-delicado-60yy-83-187-1672546,,#F4E6C0,"244,230,192",Amarillo,
45YY 66/512,Amarillo Esencial,https://www.alba.com.ar/es/paletas-de-colores/amarillo-esencial-45yy-66-512-1672094,,#F6CF6C,"246,207,108",Amarillo,
60YY 69/583,Amarillo Fantasía,https://www.alba.com.ar/es/paletas-de-colores/amarillo-fantasia-60yy-69-583-1672530,,#F3D15B,"243,209,91",Amarillo,
45YY 65/710,Amarillo Festival,https://www.alba.com.ar/es/paletas-de-colores/amarillo-festival-45yy-65-710-1672093,,#FACA35,"250,202,53",Amarillo,
45YY 69/614,Amarillo Imprenta,https://www.alba.com.ar/es/paletas-de-colores/amarillo-imprenta-45yy-69-614-1672098,,#FFCF57,"255,207,87",Amarillo,
